,formula,Eg (eV),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,Computed band gap small,Computed band gap large
552,BaIn2P4O14,3.97,Ba1 In2 P4 O14,8.0,56.0,48.0,15.523809523809524,10.231292517006802,8.0,9.0,87.0,78.0,81.38095238095238,8.108843537414966,87.0,15.9994,137.327,121.3276,34.040459428571424,25.22301159183673,15.9994,54.8,1000.0,945.2,185.5190476190476,174.2920634920635,54.8,2.0,16.0,14.0,14.857142857142858,1.5782312925170066,16.0,2.0,6.0,4.0,2.6666666666666665,0.8888888888888887,2.0,66.0,215.0,149.0,88.14285714285714,29.523809523809526,66.0,0.89,3.44,2.55,2.9223809523809523,0.6901587301587301,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888887,4.0,0.0,10.0,10.0,0.9523809523809523,1.7233560090702948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,11.0,6.285714285714286,1.2789115646258502,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.380952380952381,0.7346938775510203,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.380952380952381,0.7346938775510203,2.0,9.105,63.59,54.485,15.707664399085713,8.803552532114285,9.105,0.0,1.625,1.625,0.30952380952380953,0.5011337868480726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,32.523809523809526,38.993197278911566,12.0,Ba2+1 In3+2 P5+4 O2-14,-2.0,5.0,7.0,4.085033659592048,4.0041,4.0041
553,La2NiVO6,0.45,La2 Ni1 V1 O6,8.0,57.0,49.0,21.3,15.960000000000003,8.0,13.0,87.0,74.0,65.5,25.8,87.0,15.9994,138.90547,122.90607000000001,48.344224000000004,38.813788800000005,15.9994,54.8,2183.0,2128.2,662.58,729.336,54.8,3.0,16.0,13.0,11.7,5.16,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,207.0,141.0,108.7,51.24000000000001,66.0,1.1,3.44,2.34,2.6380000000000003,0.9623999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.3,1.6800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,5.7,1.2199999999999998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.7,3.3800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.9,2.6599999999999997,2.0,9.105,36.8975,27.7925,15.175500000000003,8.6888,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.059539470000000004,0.107171046,0.0,12.0,229.0,217.0,91.4,95.28,12.0,La3+2 Ni2+1 V4+1 O2-6,-2.0,4.0,6.0,3.269503811347189,,
554,TiO2,3.3,Ti1 O2,8.0,22.0,14.0,12.666666666666666,6.222222222222221,8.0,43.0,87.0,44.0,72.33333333333333,19.555555555555557,87.0,15.9994,47.867,31.867599999999996,26.62193333333333,14.163377777777777,15.9994,54.8,1941.0,1886.2,683.5333333333333,838.3111111111111,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,160.0,94.0,97.33333333333333,41.77777777777778,66.0,1.54,3.44,1.9,2.8066666666666666,0.8444444444444444,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,16.69,7.585000000000001,11.633333333333335,3.371111111111112,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,7.5111111111e-06,1.00148148148e-05,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,Ti4+1 O2-2,-2.0,4.0,6.0,4.242640687119285,2.6944,0.0
555,Sn0.5GaZn5.5O8,2.99,Sn0.5 Ga1 Zn5.5 O8,8.0,50.0,42.0,19.0,11.733333333333333,8.0,69.0,87.0,18.0,79.3,8.26,87.0,15.9994,118.71,102.7106,41.110879999999995,26.785578666666662,15.9994,54.8,692.68,637.88,320.23933333333326,285.44586666666663,54.8,12.0,16.0,4.0,14.266666666666667,1.848888888888889,16.0,2.0,5.0,3.0,2.966666666666667,1.031111111111111,2.0,66.0,139.0,73.0,92.7,28.48,66.0,1.65,3.44,1.79,2.6256666666666666,0.8686222222222223,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.2666666666666666,1.848888888888889,4.0,0.0,10.0,10.0,4.666666666666667,4.977777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,8.933333333333334,3.128888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.5333333333333334,1.1244444444444446,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.5333333333333334,1.1244444444444446,2.0,9.105,33.285,24.179999999999996,12.341333333333333,3.452088888888889,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,86.5,82.46666666666667,12.0,,,,,,,
556,CdS,2.583,Cd1 S1,16.0,48.0,32.0,32.0,16.0,16.0,70.0,88.0,18.0,79.0,9.0,70.0,32.065,112.411,80.346,72.238,40.173,32.065,388.36,594.22,205.86,491.29,102.93,388.36,12.0,16.0,4.0,14.0,2.0,12.0,3.0,5.0,2.0,4.0,1.0,3.0,105.0,144.0,39.0,124.5,19.5,105.0,1.69,2.58,0.8900000000000001,2.135,0.44500000000000006,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,19.495,25.786875,6.291874999999997,22.6409375,3.1459374999999987,19.495,0.0,2.202,2.202,1.101,1.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,132.0,62.0,70.0,Cd2+1 S2-1,-2.0,2.0,4.0,2.8284271247461903,1.1162,1.5194999999999999
557,K2PbGe2S6,2.85,K2 Pb1 Ge2 S6,16.0,82.0,66.0,25.454545454545453,12.661157024793386,16.0,3.0,88.0,85.0,70.27272727272727,24.462809917355376,88.0,32.065,207.2,175.135,56.64241818181818,33.19140826446281,32.065,336.53,1211.4,874.8700000000001,547.8754545454545,250.86975206611575,388.36,1.0,16.0,15.0,12.727272727272727,4.264462809917355,16.0,3.0,6.0,3.0,3.6363636363636362,0.6942148760330579,3.0,105.0,203.0,98.0,129.27272727272728,29.85123966942149,105.0,0.82,2.58,1.7600000000000002,2.1336363636363633,0.5226446280991738,2.58,1.0,2.0,1.0,1.8181818181818181,0.2975206611570248,2.0,0.0,4.0,4.0,2.727272727272727,1.3884297520661157,4.0,0.0,10.0,10.0,2.727272727272727,3.966942148760331,0.0,0.0,14.0,14.0,1.2727272727272727,2.3140495867768593,0.0,1.0,28.0,27.0,8.545454545454545,5.520661157024793,6.0,0.0,1.0,1.0,0.18181818181818182,0.29752066115702475,0.0,0.0,4.0,4.0,2.1818181818181817,0.9917355371900826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.3636363636363638,0.8925619834710744,2.0,23.005,73.1066666667,50.1016666667,34.09587121212727,14.185743801662808,25.786875,0.0,2.202,2.202,1.2707272727272727,1.0159338842975207,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,141.1818181818182,77.65289256198348,70.0,K+2 Pb2+1 Ge4+2 S2-6,-2.0,4.0,6.0,2.9956108242771315,2.2521999999999998,2.2521999999999998
558,Rb4GeP4Se12,2.0,Rb4 Ge1 P4 Se12,15.0,37.0,22.0,30.857142857142858,6.040816326530612,34.0,4.0,89.0,85.0,71.19047619047619,25.596371882086167,89.0,30.973762,85.4678,54.494037999999996,70.75839276190476,15.156049814058955,78.96,312.46,1211.4,898.94,459.9257142857142,110.51102040816329,494.0,1.0,16.0,15.0,12.857142857142858,4.517006802721088,16.0,3.0,5.0,2.0,4.0,0.38095238095238093,4.0,107.0,220.0,113.0,136.57142857142858,31.782312925170075,120.0,0.82,2.55,1.73,2.126190476190476,0.5086621315192743,2.55,1.0,2.0,1.0,1.8095238095238095,0.30839002267573695,2.0,0.0,4.0,4.0,2.9523809523809526,1.2154195011337867,4.0,0.0,10.0,10.0,6.190476190476191,4.716553287981859,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,10.952380952380953,6.058956916099773,16.0,0.0,1.0,1.0,0.19047619047619047,0.30839002267573695,0.0,0.0,4.0,4.0,1.9047619047619047,0.7256235827664399,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0952380952380953,0.526077097505669,2.0,22.5702380952,90.7225,68.1522619048,37.486473922895236,20.280390886516095,25.92,0.0,1.625,1.625,0.7843333333333333,0.33701587301587305,0.799,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,62.714285714285715,78.80272108843536,14.0,Rb+4 Ge2+1 P3+1 P5+3 Se2-12,-2.0,5.0,7.0,3.2998316455372216,1.3687,1.3687
559,CsTa3Se2O12,3.88,Cs1 Ta3 Se2 O12,8.0,73.0,65.0,24.333333333333332,21.77777777777778,8.0,5.0,89.0,84.0,76.16666666666667,17.29629629629629,87.0,15.9994,180.94788,164.94848,56.98121621666667,54.64242162222222,15.9994,54.8,3290.0,3235.2,656.5105555555556,877.8298148148149,54.8,1.0,16.0,15.0,13.333333333333334,4.148148148148148,16.0,2.0,6.0,4.0,3.111111111111111,1.4814814814814814,2.0,66.0,244.0,178.0,99.22222222222223,44.2962962962963,66.0,0.79,3.44,2.65,2.8705555555555557,0.7592592592592591,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.111111111111111,1.382716049382716,4.0,0.0,10.0,10.0,1.6111111111111112,2.3271604938271606,0.0,0.0,14.0,14.0,2.3333333333333335,3.888888888888889,0.0,1.0,19.0,18.0,9.0,4.888888888888889,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,2.0,2.0,1.5555555555555556,0.691358024691358,2.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.7777777777777777,1.4074074074074074,2.0,9.105,115.765,106.66,18.40138888888889,12.488981481481481,9.105,0.0,0.799,0.799,0.08877777777777779,0.15782716049382717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,60.44444444444444,74.91358024691357,12.0,Cs+1 Ta5+3 Se4+2 O2-12,-2.0,5.0,7.0,4.112865503587786,,
560,Hg0.01Zn0.99Te,2.3,Hg0.01 Zn0.99 Te1,30.0,80.0,50.0,41.25,11.1375,52.0,69.0,90.0,21.0,79.50999999999999,10.49,90.0,65.38,200.59,135.21,97.16604999999998,31.468189499999998,127.6,234.32,722.66,488.34,705.3782,17.28180000000001,722.66,12.0,16.0,4.0,14.0,2.0,16.0,4.0,6.0,2.0,4.51,0.5049,5.0,122.0,138.0,16.0,130.05,7.9695,138.0,1.65,2.1,0.4500000000000002,1.87675,0.22448250000000008,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,0.07,0.1393,0.0,12.0,26.0,14.0,14.07,2.0492999999999997,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,13.96,34.7633333333,20.803333333299996,24.4180545976845,10.353474051707654,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,194.0,42.0,172.86,20.9286,152.0,,,,,,,
561,Ge0.02Si0.98,1.08,Ge0.02 Si0.98,14.0,32.0,18.0,14.36,0.7055999999999994,14.0,78.0,79.0,1.0,78.02,0.03919999999999618,78.0,28.0855,72.64,44.554500000000004,28.976589999999998,1.7465363999999983,28.0855,1211.4,1687.0,475.5999999999999,1677.488,18.643519999999945,1687.0,14.0,14.0,0.0,13.999999999999998,1.7763568394002505e-15,14.0,3.0,4.0,1.0,3.02,0.03920000000000001,3.0,111.0,120.0,9.0,111.18,0.35280000000000655,111.0,1.9,2.01,0.10999999999999988,1.9022,0.004311999999999977,1.9,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,10.0,10.0,0.2,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,10.0,4.2,0.3920000000000002,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,20.44,23.005,2.5649999999999977,20.491300000000003,0.10054800000000114,20.44,0.383,0.773,0.39,0.7652,0.015288000000000027,0.773,0.0,0.0,0.0,0.0,0.0,0.0,225.0,227.0,2.0,226.96,0.07839999999999236,227.0,,,,,,,
562,Cd4As2Br3,1.88,Cd4 As2 Br3,33.0,48.0,15.0,40.333333333333336,6.814814814814815,48.0,70.0,95.0,25.0,81.44444444444444,10.17283950617284,70.0,74.9216,112.411,37.4894,93.24435555555556,17.037017283950618,112.411,265.8,1090.0,824.2,594.9200000000001,220.03555555555556,594.22,12.0,17.0,5.0,14.333333333333334,2.074074074074074,12.0,4.0,5.0,1.0,4.444444444444445,0.4938271604938272,5.0,119.0,144.0,25.0,130.44444444444446,12.049382716049385,144.0,1.69,2.96,1.27,2.2222222222222223,0.4918518518518519,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.3333333333333335,2.0740740740740744,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,5.0,14.333333333333334,2.074074074074074,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.8888888888888888,0.0,19.495,29.48,9.985,23.41888888888889,4.040740740740741,19.495,0.0,1.457,1.457,0.4856666666666667,0.6475555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,144.44444444444446,53.629629629629626,194.0,Cd2+4 As2-1 As3-1 Br-3,-3.0,2.0,5.0,2.309401076758503,0.9704,0.9704
563,PbBiO2Cl,2.45,Pb1 Bi1 O2 Cl1,8.0,83.0,75.0,39.6,34.32,8.0,81.0,94.0,13.0,87.0,2.8,87.0,15.9994,208.9804,192.981,96.72644,89.091008,15.9994,54.8,600.61,545.8100000000001,285.24199999999996,229.8104,54.8,14.0,17.0,3.0,15.6,0.8800000000000001,16.0,2.0,6.0,4.0,3.8,1.7600000000000002,2.0,66.0,148.0,82.0,105.6,33.12,66.0,2.02,3.44,1.42,2.878,0.5624,3.44,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,3.0,3.6,0.8800000000000001,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,14.0,14.0,5.6,6.720000000000001,0.0,6.0,29.0,23.0,15.2,10.64,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.4,0.8800000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.4,0.8800000000000001,2.0,9.105,32.95,23.845000000000002,20.753500000000003,9.3188,9.105,0.0,2.493,2.493,0.4986,0.79776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,65.0,64.0,12.0,Pb2+1 Bi3+1 O2-2 Cl-1,-2.0,3.0,5.0,2.472066162365221,2.0992999999999995,2.0992999999999995
564,CuInSe2,0.96,Cu1 In1 Se2,29.0,49.0,20.0,36.5,6.25,34.0,64.0,89.0,25.0,79.25,9.75,89.0,63.546,114.818,51.272,84.071,15.373500000000002,78.96,429.75,1357.77,928.02,693.88,331.945,494.0,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.25,0.375,4.0,120.0,142.0,22.0,128.5,8.5,120.0,1.78,2.55,0.7699999999999998,2.195,0.3549999999999999,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,11.07,25.92,14.850000000000001,21.7925,5.361250000000001,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,98.0,84.0,14.0,Cu+1 In3+1 Se2-2,-2.0,3.0,5.0,2.6832815729997477,0.19860000000000033,0.0
565,CdSe,1.67,Cd1 Se1,34.0,48.0,14.0,41.0,7.0,34.0,70.0,89.0,19.0,79.5,9.5,70.0,78.96,112.411,33.45100000000001,95.68549999999999,16.725500000000004,78.96,494.0,594.22,100.22000000000003,544.11,50.110000000000014,494.0,12.0,16.0,4.0,14.0,2.0,12.0,4.0,5.0,1.0,4.5,0.5,4.0,120.0,144.0,24.0,132.0,12.0,120.0,1.69,2.55,0.8599999999999999,2.12,0.42999999999999994,1.69,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,4.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,19.495,25.92,6.425000000000001,22.707500000000003,3.2125000000000004,19.495,0.0,0.799,0.799,0.3995,0.3995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,194.0,180.0,104.0,90.0,14.0,Cd2+1 Se2-1,-2.0,2.0,4.0,2.8284271247461903,0.5095,0.0
566,EuBi2Te4,0.44,Eu1 Bi2 Te4,52.0,83.0,31.0,62.42857142857143,11.918367346938776,52.0,25.0,90.0,65.0,79.57142857142857,15.59183673469388,90.0,127.6,208.9804,81.38040000000001,154.33211428571425,31.227591836734685,127.6,544.4,1095.0,550.6,724.9200000000001,105.73714285714293,722.66,3.0,16.0,13.0,13.857142857142858,3.10204081632653,16.0,5.0,6.0,1.0,5.428571428571429,0.489795918367347,5.0,138.0,198.0,60.0,149.42857142857142,13.877551020408154,138.0,1.185,2.1,0.915,1.9464285714285714,0.21755102040816335,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.142857142857143,0.979591836734694,4.0,0.0,10.0,10.0,8.571428571428571,2.448979591836735,10.0,0.0,14.0,14.0,5.0,5.714285714285714,0.0,9.0,29.0,20.0,18.714285714285715,5.877551020408164,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.7142857142857142,0.0,2.0,7.0,5.0,3.0,1.1428571428571428,2.0,32.95,36.46,3.509999999999998,34.4876190476,0.8786394557714264,34.7633333333,0.0,0.464,0.464,0.2651428571428572,0.227265306122449,0.464,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,123.0,63.42857142857143,152.0,Eu2+1 Bi3+2 Te2-4,-2.0,3.0,5.0,3.082207001484488,,
567,La4InSbS9,2.07,La4 In1 Sb1 S9,16.0,57.0,41.0,31.466666666666665,18.56,16.0,13.0,88.0,75.0,66.93333333333334,28.764444444444443,88.0,32.065,138.90547,106.84047000000001,72.05232533333333,47.9847904,32.065,388.36,1193.0,804.64,640.0513333333333,330.06977777777774,388.36,3.0,16.0,13.0,12.266666666666667,4.942222222222222,16.0,3.0,6.0,3.0,4.066666666666666,1.28,3.0,105.0,207.0,102.0,136.93333333333334,38.32,105.0,1.1,2.58,1.48,2.0966666666666667,0.58,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.6444444444444446,4.0,0.0,10.0,10.0,1.6,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,6.266666666666667,2.062222222222222,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.7333333333333334,0.9244444444444443,2.0,0.0,9.0,9.0,2.4,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.133333333333334,2.7111111111111112,2.0,24.26,36.8975,12.6375,29.032791666666665,4.531472222222222,25.786875,0.0,2.202,2.202,1.3212,1.05696,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,114.06666666666666,52.88,70.0,La3+4 In3+1 Sb3+1 S2-9,-2.0,3.0,5.0,3.2732683535398857,2.2196,2.2196
568,ZnS,3.78,Zn1 S1,16.0,30.0,14.0,23.0,7.0,16.0,69.0,88.0,19.0,78.5,9.5,69.0,32.065,65.38,33.315,48.7225,16.6575,32.065,388.36,692.68,304.31999999999994,540.52,152.15999999999997,388.36,12.0,16.0,4.0,14.0,2.0,12.0,3.0,4.0,1.0,3.5,0.5,3.0,105.0,122.0,17.0,113.5,8.5,105.0,1.65,2.58,0.9300000000000002,2.115,0.4650000000000001,1.65,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,13.96,25.786875,11.826874999999998,19.8734375,5.913437499999999,13.96,0.0,2.202,2.202,1.101,1.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,132.0,62.0,70.0,Zn2+1 S2-1,-2.0,2.0,4.0,2.8284271247461903,1.2132999999999998,0.8749
